epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,775.62,0.8968,1.08767,1.13655,0.60283,0.41924,0.46945,0.33098,1.16415,2.11755,1.42456,0.0700429,0.00332857,0.00332857
2,1535.47,0.81599,0.74449,1.07398,0.5108,0.33459,0.35667,0.23678,1.30654,2.38292,1.57965,0.0400023,0.00662131,0.00662131
3,2307.68,0.78247,0.67769,1.05799,0.83901,0.79791,0.87318,0.6791,0.76863,0.70543,1.06481,0.0098007,0.00975308,0.00975308
4,3073.38,0.74524,0.60113,1.03435,0.92743,0.91816,0.95897,0.7993,0.64602,0.4393,0.96794,0.00946048,0.00946048,0.00946048
5,3845.08,0.7241,0.56163,1.02329,0.93872,0.92586,0.9661,0.8188,0.61169,0.40987,0.95074,0.00905463,0.00905463,0.00905463
6,4606.36,0.69909,0.52324,1.01063,0.94391,0.93749,0.96977,0.82679,0.60756,0.38871,0.94138,0.00855018,0.00855018,0.00855018
7,5356.77,0.68883,0.5024,1.00262,0.94411,0.9308,0.9686,0.82492,0.60417,0.3916,0.94212,0.00795954,0.00795954,0.00795954
8,6112.31,0.67733,0.48519,0.99903,0.95027,0.94051,0.97423,0.82877,0.61979,0.36887,0.94134,0.00729725,0.00729725,0.00729725
9,6867.19,0.6678,0.46938,0.99331,0.95302,0.94552,0.97565,0.84302,0.58362,0.34847,0.92775,0.00657963,0.00657963,0.00657963
10,7629.69,0.65743,0.45397,0.98581,0.96182,0.95309,0.98059,0.85403,0.56709,0.32593,0.91105,0.00582435,0.00582435,0.00582435
11,8411.35,0.65023,0.44321,0.98124,0.96172,0.95452,0.98069,0.85539,0.57102,0.32566,0.91008,0.00505,0.00505,0.00505
12,9179.08,0.64121,0.43316,0.97895,0.96274,0.95323,0.98068,0.85262,0.57344,0.3269,0.91209,0.00427565,0.00427565,0.00427565
13,9943.97,0.63759,0.42324,0.97479,0.96587,0.95733,0.983,0.86513,0.54995,0.30564,0.90216,0.00352037,0.00352037,0.00352037
14,10703.4,0.62909,0.41255,0.97174,0.96495,0.95445,0.98111,0.84926,0.59375,0.32613,0.91496,0.00280275,0.00280275,0.00280275
15,11457.6,0.62298,0.40275,0.96731,0.96649,0.96233,0.98417,0.87013,0.54345,0.29548,0.89615,0.00214046,0.00214046,0.00214046
16,12215.4,0.61771,0.39725,0.96548,0.96745,0.96174,0.98439,0.87087,0.54227,0.29387,0.89548,0.00154982,0.00154982,0.00154982
17,12972.5,0.61187,0.39138,0.96122,0.96844,0.96158,0.98456,0.87181,0.54033,0.29224,0.8944,0.00104537,0.00104537,0.00104537
18,13733.2,0.60816,0.38646,0.95845,0.96652,0.96399,0.9847,0.872,0.53998,0.29114,0.89335,0.000639518,0.000639518,0.000639518
19,14492.5,0.60754,0.38256,0.95961,0.96816,0.96323,0.98493,0.8727,0.53866,0.29001,0.89258,0.00034227,0.00034227,0.00034227
20,15262.1,0.60523,0.37931,0.95932,0.96841,0.96358,0.98501,0.873,0.53879,0.28964,0.8928,0.000160943,0.000160943,0.000160943
